X,Y,OBJECTID,ID,TOWN,AIRPORT_NAME,OWNER_TYPE,FACILITY_TYPE,CLASS,RUNWAY,LATITUDE,LONGITUDE,ELEVATION,P_LENGTH,S_LENGTH,P_WIDTH,S_WIDTH,P_SURFACETYPE,S_SURFACETYPE,P_RUNWAYLIGHTS,S_RUNWAYLIGHTS,CONTROLTOWER,RESTAURANT,RENTALCAR,SERVICELEVEL,AIRSERVICE,GlobalID,created_user,created_date,last_edited_user,last_edited_date
306256.176899999,870131.439399999,64,PVC,PROVINCETOWN,PROVINCETOWN MUNICIPAL,MAC,PUBLIC OWNED AP,GU-1,1,42 04 19,70 13 19,8,3498,0,100,0, , , , ,N,N, ,COMMERCIAL SERVICE PRIMARY,N,{756BCAC5-64F4-4601-BA88-033823DC5FC4},,,,
263892.3389,851389.135200001,65,PYM,PLYMOUTH,PLYMOUTH MUNICIPAL,MAC,PUBLIC OWNED AP,GU-2,2,41 54 45,70 43 35,149,4350,3350,75,75,ASPHALT,ASPHALT,MIRLS,MIRLS,N,Y,Y,GENERAL AVIATION,N,{BED27D05-0554-42A5-B369-DA5CE1655FE6},,,,
261614.914300002,840004.922699999,66,11MA,WAREHAM,BULLJUMP,Private,PRIVATE OWNED AP,,1,41 48 26,70 45 30,60,1200,0,42,0,TURF,,,,N,,,PRIVATE USE,,{39875355-A14A-43DB-8C13-B7BEC323A664},,,,
301368.216300003,824767.572299998,67,HYA,HYANNIS,BARNSTABLE MUNICIPAL,MAC,PUBLIC OWNED AP,TRAN,3,41 40 07,70 16 48,52,5425,5252,150,150,ASPHALT-GROOVED,ASPHALY-GROOVED,HIRLS,HIRLS,FAA,Y, ,COMMERCIAL SERVICE PRIMARY,Y,{33DD24B8-6C3C-4DDD-A6F3-CEA13EC9211E},,,,
291473.197300002,826686.566199999,68,2B1,MARSTONS MILLS,MARSTONS MILLS-CAPE COD,MAC,PRIVATE OWNED AP,LU,3,41 41 15,70 24 15,100,1901,1128,60,60,TURF,TURF, , ,N,N, ,GENERAL AVIATION,N,{958092F7-8195-4D87-9B42-57E44E6D5D63},,,,
279853.575900003,815353.285399999,69,5B6,FALMOUTH,FALMOUTH AIRPARK,MAC,PRIVATE OWNED AP,LU,1,41 35 05,70 32 30,43,2300,0,40,0, , , , ,N,N, ,GENERAL AVIATION,N,{3DB1ED98-8624-4DFD-84EA-927A8F1F4DD8},,,,
277873.523999996,799393.364799999,70,MA44,OAK BLUFFS,TRADE WIND,Private,PRIVATE OWNED AP,,2,41 26 30,70 34 13,43,2200,2200,200,200,TURF,TURF,,,N,,,,,{889097E5-F72B-40D7-9A5B-027A4F2279D5},,,,
274037.158699997,793770.407699998,71,MVY,MARTHA'S VINEYARD,MARTHA'S VINEYARD,MAC,PUBLIC OWNED AP,GU-2,3,41 23 34,70 36 57,68,5500,3297,100,75,ASPHALT-GROOVED,ASPHALT,HIRLS,MIRLS,CONTRACT,Y, ,COMMERCIAL SERVICE PRIMARY,Y,{E9749955-03CE-46E7-8D63-8D1E3C61FB4C},,,,
281834.446099997,790116.441300001,72,1B2,EDGARTOWN,EDGARTOWN-KATAMA AIRPARK,MAC,PUBLIC OWNED AP,LU,4,41 21 30,70 31 30,20,4000,2700,50,50,TURF,TURF, , ,N,Y, ,GENERAL AVIATION,N,{40FAD583-AB86-4685-AE27-7F886C8C5291},,,,
300916.500799999,787714.4476,73,MA55,NANTUCKET,MUSKEGET ISLAND,Private,PRIVATE OWNED AP,,1,41 20 05,70 17 58,90,1820,0,100,0,TURF,,,,N,,,PRIVATE USE,,{E051AF01-616A-473C-BB67-A122110E89EF},,,,
303882.721000001,783782.265099999,74,MA72,NANTUCKET,TUCKERNECK,Private,PRIVATE OWNED AP,,2,41 17 51,70 15 37,23,2000,2000,20,20,TURF,,,,N,,,PRIVATE USE,,{64849F7E-62D5-484E-878D-A95448C5B523},,,,
190394.582199998,865612.2883,75,MA75,UXBRIDGE,SKY GLEN,Private,PRIVATE OWNED AP,,1,42 02 27,71 36 58,260,2400,0,75,0,TURF,,,,N,,,PRIVATE USE,,{5CB8504B-3ACC-4D8F-9666-849DE94CE88A},,,,
200347.343500003,893745.221500002,76,08MA,SOUTHBOROUGH,WORMID,Private,PRIVATE OWNED AP,,1,42 17 38,71 29 46,360,1000,0,18,0,TURF,,,,N,,,PRIVATE USE,,{E4D71371-7C08-4E5E-9E8F-5548A543E92F},,,,
196381.896399997,892060.3237,77,1MA5,SOUTHBOROUGH,UNKNOWN FIELD,Private,PRIVATE OWNED AP,,1,42 16 44,71 32 52,432,1500,0,30,0,ASPHALT,,LIRLS,,N,,,PRIVATE USE,,{E3D373D6-FA91-4BB4-82ED-2624FEB49CE1},,,,
223321.226400003,939145.7269,78,MA2,METHUEN,MERRIMACK VALLEY SEAPLANE BASE,MAC,PRIVATE OWNED AP, ,2,42 42 00,71 12 58,50,5000,4700,500,250,WATER,WATER, , ,N,N, ,GENERAL AVIATION,N,{C5010264-6156-41AC-B4C3-F6CBE98B8A24},,,,
254385.907899998,862295.190299999,79,MA6,HALIFAX,MONPONSETT POND SEAPLANE BASE,MAC,PRIVATE OWNED AP, ,2,42 00 35,70 50 35,52,5000,3200,500,300,WATER,WATER, , ,N,N, ,GENERAL AVIATION,N,{44781A72-9119-402E-8D3F-61AF3EAD9CD1},,,,
